Riddle	Solution
What number becomes zero when you subtract 15 from half of it?	30
I am a three-digit number. My tens digit is five more than my ones digit, and my hundreds digit is eight less than my tens digit. What number am I?	194
The sum of two numbers is 12, and their product is 32. What are the numbers?	4 and 8
I am a number. Multiply me by 4, then subtract 6, and you get 18. What am I?	6
A farmer has 17 sheep, and all but 9 run away. How many does he have left?	9
What two numbers add up to 10 and multiply to 21?	3 and 7
A father is 4 times as old as his son. In 20 years, he will be twice as old as his son. How old is the father now?	40
What is the next number in the sequence: 1, 4, 9, 16, __?	25
If you multiply me by 2 and add 3, you get 11. What am I?	4
I am a number. If you divide me by 3, add 5, and multiply by 2, you get 16. What am I?	3
What comes next in the pattern: 2, 6, 12, 20, __?	30
I am a number. If you subtract 7 from me and divide by 2, you get 10. What am I?	27
The sum of my digits is 9, and I am a multiple of 9. I am between 10 and 20. What number am I?	18
What number am I? I am the product of my digits, and my digits add up to 6.	36
If you double my age and subtract 4, you get 10. How old am I?	7
I am an even number between 20 and 30. The sum of my digits is 8. What number am I?	26
What number am I? I am the only even prime number.	2
A baker had 24 cupcakes. He gave half away and then ate one. How many are left?	11
If 3 cats catch 3 mice in 3 minutes, how long does it take 6 cats to catch 6 mice?	3
What number is next in the sequence: 1, 1, 2, 3, 5, __?	8
I am a number. If you subtract me from 10, you get twice my value. What number am I?	3
If I multiply myself by 5 and subtract 4, I get 21. What number am I?	5
The sum of three consecutive numbers is 12. What are they?	3, 4, 5
What number is one-third of one-fourth of one-fifth of 600?	10
A number is twice the sum of its digits. What number is it?	18
What is the smallest number that is evenly divisible by both 4 and 6?	12
What two numbers multiply to 20 and add up to 9?	4 and 5
If you divide 40 by half and add 10, what do you get?	90
How many times can you subtract 5 from 25?	5
If a dozen eggs cost $3.60, what is the cost of one egg?	0.3
